Gene	LogFC	FDR	Region
Nfib3	Nfib	-0.020936672	0.948653691	SVZ
Nhlh13	Nhlh1	NA	NA	SVZ
Nr3c23	Nr3c2	-0.327386218	0.001627882	SVZ
Nr4a33	Nr4a3	-0.43133344	0.272437645	SVZ
Osr13	Osr1	NA	NA	SVZ
Rfx23	Rfx2	-0.122730127	0.65749191	SVZ
Rfx33	Rfx3	-0.32176967	0.001496083	SVZ
Tcf153	Tcf15	-0.280161348	0.660464627	SVZ
Tcf43	Tcf4	0.044036688	0.831844051	SVZ
Trps13	Trps1	0.031301687	0.857421269	SVZ
Zbtb183	Zbtb18	-0.172555956	0.623946719	SVZ
Zbtb203	Zbtb20	-0.051538678	0.736928324	SVZ
Zeb23	Zeb2	0.477864217	0.000471981	SVZ
Zfp1893	Zfp189	-0.488263322	5.93e-07	SVZ
Zfpm23	Zfpm2	0.557829069	0.049739503	SVZ
Emx23	Emx2	-0.838643802	3.21e-05	SVZ
Runx13	Runx1	0.727248173	0.006060881	SVZ
Etv43	Etv4	-0.164104811	0.587328083	SVZ
Maff3	Maff	0.954713487	0.033166902	SVZ
Pax63	Pax6	0.416476951	0.164050087	SVZ
Tbr13	Tbr1	0.339409758	0.654792755	SVZ
Ybx23	Ybx2	-0.155365093	0.711166388	SVZ
Creb3l23	Creb3l2	0.638029825	1.56e-07	SVZ
Creb53	Creb5	0.724564409	1.47e-05	SVZ
Irx13	Irx1	0.832935137	0.006244695	SVZ
Lef13	Lef1	1.106191862	2.08e-15	SVZ
Litaf3	Litaf	0.774494121	6.09e-08	SVZ
Myrf3	Myrf	0.73558538	6.89e-05	SVZ
Nkx2-23	Nkx2-2	0.604984921	0.000428337	SVZ
Nkx6-23	Nkx6-2	0.640401542	0.005029076	SVZ
Nr2f13	Nr2f1	1.028397924	4.73e-10	SVZ
Rora3	Rora	0.705548755	5.64e-08	SVZ
Sox103	Sox10	0.601520136	0.001616598	SVZ
Tcf7l23	Tcf7l2	1.155204822	2.44e-10	SVZ
Zbtb163	Zbtb16	1.144473801	7.73e-08	SVZ
Npas13	Npas1	1.155540555	0.000213637	SVZ
Bhlhe233	Bhlhe23	-1.232375545	0.005275736	SVZ
Six43	Six4	1.417470921	0.000239655	SVZ
Mkx3	Mkx	0.540522525	0.043711669	SVZ
Nkx3-13	Nkx3-1	NA	NA	SVZ
Ebf13	Ebf1	-0.296696576	0.570949178	SVZ
Irf63	Irf6	-0.826968067	0.020807872	SVZ
Thrb3	Thrb	-0.314583366	0.112956903	SVZ
Rarb3	Rarb	-1.188553409	5.84e-43	SVZ
Zfp5033	Zfp503	-0.751248118	0.000179282	SVZ
AC099444.13	AC099444.1	0.106188587	0.685834072	SVZ
Arid3b3	Arid3b	-0.171751786	0.350714209	SVZ
Casz13	Casz1	-0.600490089	0.024581207	SVZ
Cux13	Cux1	-0.187937204	0.102623879	SVZ
Cux23	Cux2	0.097000411	0.856763611	SVZ
Esrrg3	Esrrg	0.56247132	0.000848148	SVZ
Gtf2ird13	Gtf2ird1	0.01257368	0.989983497	SVZ
Heyl3	Heyl	-0.012532448	0.957118523	SVZ
Hivep13	Hivep1	0.551654887	0.012160867	SVZ
Hivep33	Hivep3	0.048894239	0.789969949	SVZ
Hlf3	Hlf	-0.254340437	0.056842427	SVZ
Hmga13	Hmga1	0.047625208	0.81499546	SVZ
L3mbtl13	L3mbtl1	-0.205166977	0.401489903	SVZ
Mef2c3	Mef2c	-0.238847296	0.296623431	SVZ
Mitf3	Mitf	0.550193972	7.31e-07	SVZ
Neurod43	Neurod4	0.56233977	0.158813516	SVZ
Npas23	Npas2	-0.4259816	9.27e-05	SVZ
Nr1d13	Nr1d1	0.175556377	0.144094003	SVZ
Nr6a13	Nr6a1	-0.164327684	0.61593039	SVZ
Pbx33	Pbx3	-0.30487527	0.040110329	SVZ
Pou2f23	Pou2f2	-0.051819614	0.873534993	SVZ
Pou3f23	Pou3f2	-0.07362694	0.716608617	SVZ
Satb13	Satb1	0.397096096	0.106186098	SVZ
Stat5b3	Stat5b	-0.085577323	0.510475051	SVZ
Tox23	Tox2	-0.052396857	0.7722937	SVZ
Tshz33	Tshz3	0.121751468	0.855071758	SVZ
Zfhx33	Zfhx3	0.328498865	0.00285749	SVZ
Zfp385a3	Zfp385a	0.396750998	0.00027918	SVZ
Zfp5753	Zfp575	-0.423148489	0.015548705	SVZ
Zic33	Zic3	0.044936072	0.842484776	SVZ
Zim13	Zim1	-0.09774302	0.836054363	SVZ
Bcl11b3	Bcl11b	-0.910826234	0.000241206	SVZ
Egr33	Egr3	-1.148900494	1.74e-14	SVZ
Foxp13	Foxp1	-0.908503027	2.38e-09	SVZ
Npas43	Npas4	-3.091438797	1.75e-09	SVZ
Nr4a13	Nr4a1	-1.104287634	2.61e-15	SVZ
Prdm163	Prdm16	-0.837442123	4.37e-06	SVZ
Smad33	Smad3	-0.906790083	9.71e-18	SVZ
Etv53	Etv5	-0.130019582	0.451645416	SVZ
Foxo13	Foxo1	-0.577305004	2.7e-05	SVZ
Lhx63	Lhx6	0.501596817	0.237455458	SVZ
Lhx83	Lhx8	1.025703666	0.126589657	SVZ
Nkx2-13	Nkx2-1	0.376682084	0.632296472	SVZ
Nr4a23	Nr4a2	0.564831924	0.185292117	SVZ
Satb23	Satb2	-0.129927216	0.927253519	SVZ
Tp733	Tp73	-0.924376848	0.097375969	SVZ
Egr13	Egr1	-1.027486662	6.64e-18	SVZ
Foxg13	Foxg1	-0.607289418	0.000163759	SVZ
Foxp23	Foxp2	-0.865323641	2.78e-13	SVZ
Junb3	Junb	-1.191047944	2.28e-12	SVZ
Klf163	Klf16	-0.909793297	2.04e-16	SVZ
Meox23	Meox2	-1.209873002	0.000733501	SVZ
Myb3	Myb	-1.016411442	0.005923948	SVZ
Pou3f43	Pou3f4	-0.597084537	8.55e-05	SVZ
Rreb13	Rreb1	-0.624132162	0.003715651	SVZ
Sp83	Sp8	-0.968790255	0.000486485	SVZ
Trerf13	Trerf1	-0.676165416	2.9e-09	SVZ
